idol_name,idol_info,profile_pic
横宮七海,"出生: 2001年04月09日
 三圍: B88 / W58 / H84
 罩杯: E Cup
 出道日期: 2021年04月
 星座: Aries
 血型: AB
 身高: 154cm
 國籍: 日本",132583.jpg
深田詠美,"出生: 1998年03月17日
三圍: B85 / W59 / H91
罩杯: E Cup
出道日期: 2018年11月
星座: Pisces
血型: n/a
身高: 158cm
國籍: 日本",29838.jpg
南乃そら,"出生: 2001年07月13日
 三圍: B84 / W60 / H86
 罩杯: C Cup
 出道日期: 2020年08月
 星座: Cancer
 血型: A
 身高: 161cm
 國籍: 日本",106075.jpg
美波もも,"出生: 1993年06月29日
 三圍: B96 / W62 / H94
 罩杯: I Cup
 出道日期: 2021年11月
 星座: Cancer
 血型: n/a
 身高: 155cm
 國籍: 日本",141024.jpg
工藤ララ,"出生: 2001年04月29日
 三圍: B83 / W55 / H86
 罩杯: C Cup
 出道日期: 2020年06月
 星座: Taurus
 血型: n/a
 身高: 142cm
 國籍: 日本",130783.jpg
有岡みう,"出生: 1997年09月29日
 三圍: B100 / W62 / H92
 罩杯: J Cup
 出道日期: n/a
 星座: Libra
 血型: O
 身高: 167cm
 國籍: 日本",113177.jpg
白石茉莉奈,"出生: 1986年08月09日
 三圍: B90 / W60 / H90
 罩杯: G Cup
 出道日期: 2016年06月
 星座: Leo
 血型: A
 身高: 154cm
 國籍: 日本",195.jpg
庵ひめか,"出生: 2002年04月29日
 三圍: B100 / W57 / H89
 罩杯: L Cup
 出道日期: 2022年09月
 星座: Taurus
 血型: n/a
 身高: 153cm
 國籍: 日本",164320.jpg
中山文香,"出生: 1997年08月29日
 三圍: B105 / W60 / H87
 罩杯: H Cup
 出道日期: 2019年11月
 星座: Virgo
 血型: n/a
 身高: 150cm
 國籍: 日本",62402.jpg
宮下玲奈,"出生: 2002年07月14日
 三圍: B83 / W57 / H85
 罩杯: C Cup
 出道日期: 2022年03月
 星座: Cancer
 血型: B
 身高: 162cm
 國籍: 日本",152275.jpg
望月絢香,"出生: 1998年04月17日
 三圍: B90 / W58 / H88
 罩杯: G Cup
 出道日期: 2019年05月
 星座: Aries
 血型: n/a
 身高: 160cm
 國籍: 日本",48281.jpg
川上奈奈美,"出生: 1992年10月13日
 三圍: B79 / W57 / H80
 罩杯: B Cup
 出道日期: 2012年01月
 星座: Libra
 血型: O
 身高: 160cm
 國籍: 日本",198.jpg
楓可憐,"出生: 1999年08月24日
 三圍: B82 / W59 / H81
 罩杯: D Cup
 出道日期: 2018年12月
 星座: Virgo
 血型: n/a
 身高: 162cm
 國籍: 日本",30460.jpg
河合明日菜,"出生: 1998年03月20日
 三圍: B88 / W59 / H99
 罩杯: G Cup
 出道日期: 2018年02月
 星座: Pisces
 血型: O
 身高: 158cm
 國籍: 日本",526.jpg
稻場流花,"出生: 2000年01月07日
 三圍: B93 / W59 / H86
 罩杯: H Cup
 出道日期: 2019年03月
 星座: Capricorn
 血型: O
 身高: 160cm
 國籍: 日本",42464.jpg
鈴木真夕,"出生: 1994年03月15日
 三圍: B87 / W60 / H88
 罩杯: G Cup
 出道日期: 2015年05月
 星座: Pisces
 血型: A
 身高: 158cm
 國籍: 日本",727.jpg
月乃露娜,"出生: n/a
 三圍: B82 / W56 / H86
 罩杯: C Cup
 出道日期: 2019年02月
 星座: n/a
 血型: O
 身高: 163cm
 國籍: 日本",39681.jpg
四宮ありす,"出生: 1998年03月22日
 三圍: B86 / W58 / H85
 罩杯: D Cup
 出道日期: 2022年12月
 星座: Aries
 血型: A
 身高: 154cm
 國籍: 日本",170465.jpg
楓ふうあ,"出生: 2001年04月19日
 三圍: B93 / W59 / H88
 罩杯: F Cup
 出道日期: 2021年08月
 星座: Aries
 血型: n/a
 身高: 170cm
 國籍: 日本",137254.jpg
新村晶,"出生: 1994年07月06日
 三圍: B86 / W58 / H88
 罩杯: F Cup
 出道日期: n/a
 星座: Cancer
 血型: n/a
 身高: 153cm
 國籍: 日本",773.jpg
結城りの,"出生: 1999年04月29日
 三圍: B90 / W55 / H88
 罩杯: G Cup
 出道日期: 2021年07月
 星座: Taurus
 血型: n/a
 身高: 151cm
 國籍: 日本",137062.jpg
椿りか,"出生: 2000年03月29日
 三圍: B88 / W55 / H84
 罩杯: G Cup
 出道日期: 2020年06月
 星座: Aries
 血型: n/a
 身高: 157cm
 國籍: 日本",98740.jpg
推川悠里,"出生: 1990年06月12日
 三圍: B93 / W60 / H90
 罩杯: F Cup
 出道日期: 2013年06月
 星座: Gemini
 血型: AB
 身高: 165cm
 國籍: 日本",35.jpg
初川南,"出生: 1995年01月18日
 三圍: B86 / W59 / H88
 罩杯: D Cup
 出道日期: 2014年02月
 星座: Capricorn
 血型: O
 身高: 156cm
 國籍: 日本",324.jpg
高瀬りな,"出生: 2000年07月13日
 三圍: B88 / W60 / H85
 罩杯: F Cup
 出道日期: n/a
 星座: Cancer
 血型: O
 身高: 149cm
 國籍: 日本",113393.jpg
花狩まい,"出生: 1998年11月19日
 三圍: B77 / W60 / H83
 罩杯: D Cup
 出道日期: 2021年04月
 星座: Scorpio
 血型: n/a
 身高: 160cm
 國籍: 日本",127580.jpg
小野六花,"出生: 2002年02月13日
 三圍: B81 / W58 / H82
 罩杯: C Cup
 出道日期: 2020年05月
 星座: Aquarius
 血型: n/a
 身高: 148cm
 國籍: 日本",96205.jpg
梓ヒカリ,"出生: 1998年02月06日
 三圍: B89 / W54 / H86
 罩杯: F Cup
 出道日期: 2020年03月
 星座: Aquarius
 血型: n/a
 身高: 155cm
 國籍: 日本",90736.jpg
Minamo,"出生: 2000年05月09日
 三圍: B88 / W54 / H87
 罩杯: E Cup
 出道日期: 2021年08月
 星座: Taurus
 血型: A
 身高: 153cm
 國籍: 日本",134598.jpg
森日向子,"出生: 2000年09月08日
 三圍: B75 / W56 / H88
 罩杯: A Cup
 出道日期: 2020年06月
 星座: Virgo
 血型: n/a
 身高: 166cm
 國籍: 日本",100260.jpg
瀬名ひかり,"出生: 1999年07月01日
 三圍: B95 / W61 / H86
 罩杯: G Cup
 出道日期: 2020年08月
 星座: Cancer
 血型: O
 身高: 163cm
 國籍: 日本",106234.jpg
小倉由菜,"出生: 1998年11月04日
 三圍: B83 / W58 / H85
 罩杯: D Cup
 出道日期: 2017年12月
 星座: Scorpio
 血型: n/a
 身高: 155cm
 國籍: 日本",785.jpg
水卜櫻,"出生: n/a
 三圍: B79 / W52 / H78
 罩杯: G Cup
 出道日期: 2017年04月
 星座: n/a
 血型: O
 身高: 152cm
 國籍: 日本",56.jpg
相澤南,"出生: 1996年06月13日
 三圍: B80 / W54 / H82
 罩杯: C Cup
 出道日期: 2016年08月
 星座: Gemini
 血型: A
 身高: 155cm
 國籍: 日本",157.jpg
山岸逢花,"出生: n/a
 三圍: B82 / W59 / H81
 罩杯: C Cup
 出道日期: 2017年07月
 星座: n/a
 血型: B
 身高: 160cm
 國籍: 日本",358.jpg
森沢かな,"出生: 1992年05月08日
 三圍: B82 / W56 / H86
 罩杯: C Cup
 出道日期: n/a
 星座: Taurus
 血型: AB
 身高: 160cm
 國籍: 日本",76.jpg
辻井穗乃果,"出生: 1996年11月14日
 三圍: B96 / W60 / H88
 罩杯: H Cup
 出道日期: 2019年03月
 星座: Scorpio
 血型: O
 身高: 172cm
 國籍: 日本",61461.jpg
古川伊織,"出生: 1992年09月24日
 三圍: B83 / W58 / H88
 罩杯: C Cup
 出道日期: 2016年06月
 星座: Libra
 血型: O
 身高: 155cm
 國籍: 日本",317.jpg
夢乃愛華,"出生: 1994年08月25日
 三圍: B79 / W52 / H78
 罩杯: G Cup
 出道日期: 2013年05月
 星座: Virgo
 血型: A
 身高: 149cm
 國籍: 日本",9.jpg
沙月恵奈,"出生: 1999年06月10日
 三圍: B85 / W58 / H86
 罩杯: E Cup
 出道日期: 2020年10月
 星座: Gemini
 血型: A
 身高: 152cm
 國籍: 日本",110426.jpg
橋本有菜,"出生: 1996年12月14日
 三圍: B84 / W56 / H83
 罩杯: C Cup
 出道日期: 2016年03月
 星座: Sagittarius
 血型: A
 身高: 167cm
 國籍: 日本",24.jpg
黑川堇,"出生: 1989年01月29日
 三圍: B86 / W56 / H88
 罩杯: D Cup
 出道日期: n/a
 星座: Aquarius
 血型: O
 身高: 165cm
 國籍: 日本",23868.jpg
明日見未来,"出生: 2000年08月19日
 三圍: B91 / W60 / H87
 罩杯: G Cup
 出道日期: 2021年10月
 星座: Leo
 血型: n/a
 身高: 170cm
 國籍: 日本",141798.jpg
加美杏奈,"出生: 1996年08月31日
 三圍: B89 / W56 / H95
 罩杯: D Cup
 出道日期: 2021年04月
 星座: Virgo
 血型: n/a
 身高: 162cm
 國籍: 日本",66885.jpg
奧田咲,"出生: 1992年06月14日
 三圍: B81 / W55 / H79
 罩杯: G Cup
 出道日期: 2011年06月
 星座: Gemini
 血型: B
 身高: 148cm
 國籍: 日本",8.jpg
希島愛理,"出生: 1988年12月23日
 三圍: B85 / W58 / H87
 罩杯: C Cup
 出道日期: 2013年07月
 星座: Capricorn
 血型: O
 身高: 160cm
 國籍: 日本",203.jpg
羽咲みはる,"出生: 1992年03月02日
 三圍: B86 / W60 / H83
 罩杯: F Cup
 出道日期: 2016年06月
 星座: Pisces
 血型: A
 身高: 151cm
 國籍: 日本",11.jpg
小湊よつ葉,"出生: 1996年05月28日
 三圍: B83 / W59 / H80
 罩杯: D Cup
 出道日期: 2022年08月
 星座: Gemini
 血型: B
 身高: 154cm
 國籍: 日本",162360.jpg
本庄鈴,"出生: 1997年01月11日
三圍: B85 / W62 / H88
罩杯: E Cup
出道日期: 2018年05月
星座: Capricorn
血型: B
身高: 163cm
國籍: 日本",13207.jpg
天川空,"出生: 1998年10月09日
 三圍: B86 / W56 / H84
 罩杯: F Cup
 出道日期: 2019年10月
 星座: Libra
 血型: n/a
 身高: 164cm
 國籍: 日本",60714.jpg
松下紗榮子,"出生: 1990年09月29日
 三圍: B88 / W57 / H86
 罩杯: F Cup
 出道日期: 2015年06月
 星座: Libra
 血型: n/a
 身高: 165cm
 國籍: 日本",21.jpg
葵司,"出生: 1990年08月13日
 三圍: B88 / W58 / H86
 罩杯: E Cup
 出道日期: 2016年03月
 星座: Leo
 血型: O
 身高: 163cm
 國籍: 日本",34.jpg
夏希栗,"出生: 1995年12月24日
 三圍: B88 / W53 / H85
 罩杯: G Cup
 出道日期: 2019年08月
 星座: Capricorn
 血型: O
 身高: 164cm
 國籍: 日本",54722.jpg
柏木こなつ,"出生: 2003年07月12日
 三圍: B86 / W59 / H88
 罩杯: F Cup
 出道日期: 2022年03月
 星座: Cancer
 血型: O
 身高: 155cm
 國籍: 日本",150927.jpg
吉根柚莉愛,"出生: 1992年05月25日
 三圍: B111 / W61 / H95
 罩杯: M Cup
 出道日期: 2019年06月
 星座: Gemini
 血型: n/a
 身高: 153cm
 國籍: 日本",52315.jpg
波多野結衣,"出生: 1988年05月23日
 三圍: B88 / W59 / H85
 罩杯: D Cup
 出道日期: 2008年06月
 星座: Gemini
 血型: A
 身高: 163cm
 國籍: 日本",10.jpg
八掛うみ,"出生: 2000年09月01日
 三圍: B80 / W57 / H85
 罩杯: C Cup
 出道日期: 2020年10月
 星座: Virgo
 血型: A
 身高: 160cm
 國籍: 日本",111574.jpg
桃乃木香奈,"出生: 1996年12月23日
 三圍: B89 / W58 / H83
 罩杯: F Cup
 出道日期: 2015年10月
 星座: Capricorn
 血型: AB
 身高: 153cm
 國籍: 日本",231.jpg
八木奈々,"出生: 2000年09月02日
 三圍: B82 / W56 / H86
 罩杯: E Cup
 出道日期: 2019年12月
 星座: Virgo
 血型: n/a
 身高: n/a
 國籍: 日本",63527.jpg
石原希望,"出生: 2000年07月24日
 三圍: B88 / W58 / H89
 罩杯: F Cup
 出道日期: 2020年05月
 星座: Leo
 血型: n/a
 身高: 160cm
 國籍: 日本",98140.jpg
架乃由羅,"出生: 1998年01月31日
 三圍: B82 / W59 / H88
 罩杯: C Cup
 出道日期: 2017年11月
 星座: Aquarius
 血型: O
 身高: 153cm
 國籍: 日本",297.jpg
乙アリス,"出生: 1993年12月18日
 三圍: B85 / W60 / H86
 罩杯: G Cup
 出道日期: n/a
 星座: Sagittarius
 血型: O
 身高: 160cm
 國籍: 日本",114774.jpg
七ツ森りり,"出生: 1995年11月10日
 三圍: B89 / W62 / H90
 罩杯: F Cup
 出道日期: 2020年08月
 星座: Scorpio
 血型: n/a
 身高: 153cm
 國籍: 日本",104933.jpg
美乃すずめ,"出生: 1996年05月09日
 三圍: B93 / W60 / H89
 罩杯: G Cup
 出道日期: 2019年11月
 星座: Taurus
 血型: n/a
 身高: 168cm
 國籍: 日本",62263.jpg
愛弓りょう,"出生: 1982年10月26日
 三圍: B90 / W58 / H85
 罩杯: G Cup
 出道日期: 2021年06月
 星座: Scorpio
 血型: n/a
 身高: 167cm
 國籍: 日本",132331.jpg
戶田真琴,"出生: 1996年10月08日
 三圍: B83 / W58 / H83
 罩杯: C Cup
 出道日期: 2016年06月
 星座: Libra
 血型: A
 身高: 152cm
 國籍: 日本",375.jpg
山手梨愛,"出生: 2000年02月22日
 三圍: B99 / W58 / H88
 罩杯: I Cup
 出道日期: 2021年11月
 星座: Pisces
 血型: n/a
 身高: 170cm
 國籍: 日本",143309.jpg
紗倉真奈,"出生: 1993年03月22日
 三圍: B89 / W58 / H89
 罩杯: F Cup
 出道日期: 2016年06月
 星座: Aries
 血型: B
 身高: 156cm
 國籍: 日本",172.jpg
明里紬,"出生: 1998年03月30日
 三圍: B80 / W58 / H83
 罩杯: C Cup
 出道日期: 2017年03月
 星座: Aries
 血型: O
 身高: 155cm
 國籍: 日本",260.jpg
